Model,Train Score,Test Score
random_forest,0.9478112609257587,0.9375870367679489
gradient_boosting,0.9413685781851504,0.9379161492063953
linear,0.9379665576585062,0.938472733917121
decision_tree,0.9443853788241494,0.9312230871932732
