iter	RMSE
0	50.92911145
1	48.4751649
2	46.12227164
3	43.89305261
4	41.77281755
5	39.7615946
6	37.84725219
7	36.02939429
8	34.2918947
9	32.67287115
10	31.09804995
11	29.60888113
12	28.21460601
13	26.87728142
14	25.61028359
15	24.41497194
16	23.2725117
17	22.2048904
18	21.18369643
19	20.20405421
20	19.27515087
21	18.40045626
22	17.57220904
23	16.79740328
24	16.06525702
25	15.36160556
26	14.70131107
27	14.07512273
28	13.49222749
29	12.9339175
30	12.40823309
31	11.91431447
32	11.44451288
33	11.0034036
34	10.58621682
35	10.19915883
36	9.832415709
37	9.494906949
38	9.169810778
39	8.866123591
40	8.581077568
41	8.318678398
42	8.068946217
43	7.836207229
44	7.622877632
45	7.419626755
46	7.232802353
47	7.057511244
48	6.896734574
49	6.747233064
50	6.610690599
51	6.485379038
52	6.3709948
53	6.262207893
54	6.161104512
55	6.066524475
56	5.982668561
57	5.904188929
58	5.831784137
59	5.76655468
60	5.706822827
61	5.649850205
62	5.598906785
63	5.552137205
64	5.508793948
65	5.471721858
66	5.435599976
67	5.401307854
68	5.373261164
69	5.344801255
70	5.320088525
71	5.297809825
72	5.276438642
73	5.257417707
74	5.238852408
75	5.222038078
76	5.207457316
77	5.194405127
78	5.181145581
79	5.169474595
80	5.159136477
81	5.150082953
82	5.14084299
83	5.133180382
84	5.126040827
85	5.118934309
86	5.112246774
87	5.10666904
88	5.100690268
89	5.095871952
90	5.090864828
91	5.08679515
92	5.082524594
93	5.078906054
94	5.075439401
95	5.072123529
96	5.06865305
97	5.065714467
98	5.062782127
99	5.060493512
100	5.057970356
101	5.055437123
102	5.052860854
103	5.050497646
104	5.048640047
105	5.046336865
106	5.044019121
107	5.042114266
108	5.040639798
109	5.038997916
110	5.03704834
111	5.035271496
112	5.033220261
113	5.03227584
114	5.030731754
115	5.029417421
116	5.027999425
117	5.026450453
118	5.025143051
119	5.023820277
120	5.022351985
121	5.021408966
122	5.019998462
123	5.01904194
124	5.018130896
125	5.016997496
126	5.01586309
127	5.014773752
128	5.013641474
129	5.012740605
130	5.011725329
131	5.01076991
132	5.01014902
133	5.008829081
134	5.008003793
135	5.006934458
136	5.005989562
137	5.004631532
138	5.002906576
139	5.001924533
140	5.001362305
141	5.000432311
142	4.998999693
143	4.997910978
144	4.997029461
145	4.995771658
146	4.994308086
147	4.993639102
148	4.992494245
149	4.991286687
150	4.990362492
151	4.989396064
152	4.988503463
153	4.987680758
154	4.98662365
155	4.985572431
156	4.984379359
157	4.98350776
158	4.982783241
