iter	Passed	Remaining
0	129	20532
1	260	20447
2	398	20697
3	534	20698
4	661	20362
5	787	20093
6	911	19801
7	1032	19488
8	1171	19530
9	1331	19846
10	1582	21290
11	1711	20960
12	1851	20789
13	1995	20665
14	2133	20484
15	2282	20401
16	2404	20080
17	2533	19842
18	2658	19585
19	2789	19386
20	2925	19223
21	3060	19056
22	3180	18804
23	3299	18562
24	3427	18371
25	3552	18172
26	3681	17999
27	3816	17855
28	3942	17672
29	4072	17510
30	4206	17366
31	4341	17228
32	4471	17074
33	4604	16928
34	4732	16767
35	4859	16601
36	5006	16508
37	5139	16366
38	5374	16537
39	5563	16552
40	5721	16466
41	5859	16323
42	6013	16222
43	6156	16090
44	6333	16044
45	6488	15939
46	6637	15817
47	6779	15678
48	6922	15539
49	7060	15392
50	7204	15256
51	7412	15253
52	7625	15251
53	7828	15222
54	7986	15102
55	8130	14954
56	8272	14803
57	8414	14652
58	8553	14497
59	8681	14324
60	8822	14174
61	8963	14024
62	9103	13871
63	9240	13715
64	9378	13562
65	9518	13412
66	9728	13358
67	9858	13193
68	9984	13023
69	10117	12863
70	10244	12696
71	10367	12527
72	10572	12455
73	10695	12284
74	10814	12112
75	10939	11947
76	11062	11781
77	11181	11611
78	11307	11450
79	11428	11285
80	11566	11138
81	11831	11109
82	12028	11013
83	12149	10847
84	12271	10683
85	12388	10516
86	12517	10359
87	12642	10200
88	12762	10037
89	12884	9877
90	13008	9720
91	13137	9567
92	13263	9412
93	13388	9258
94	13522	9109
95	13644	8954
96	13765	8798
97	13889	8645
98	14010	8491
99	14138	8341
100	14258	8188
101	14384	8038
102	14506	7886
103	14625	7734
104	14756	7588
105	14897	7448
106	15036	7307
107	15160	7158
108	15284	7011
109	15407	6863
110	15528	6715
111	15643	6564
112	15764	6417
113	15868	6264
114	15986	6116
115	16109	5971
116	16236	5828
117	16362	5685
118	16486	5541
119	16611	5398
120	16733	5255
121	16853	5111
122	16979	4969
123	17105	4828
124	17235	4688
125	17359	4546
126	17482	4405
127	17613	4265
128	17737	4125
129	17864	3985
130	17992	3845
131	18139	3710
132	18275	3572
133	18411	3434
134	18550	3297
135	18696	3161
136	18830	3023
137	18976	2887
138	19120	2751
139	19259	2613
140	19384	2474
141	19510	2335
142	19631	2196
143	19747	2057
144	19868	1918
145	19996	1780
146	20127	1643
147	20329	1510
148	20521	1377
149	20649	1238
150	20782	1101
151	20920	963
152	21060	825
153	21196	688
154	21337	550
155	21476	413
156	21604	275
157	21727	137
158	21861	0
