iter	RMSE
0	51.02470233
1	48.56575415
2	46.20255535
3	43.96904973
4	41.84703961
5	39.83159881
6	37.91407294
7	36.0923647
8	34.35193589
9	32.73179646
10	31.15914334
11	29.6674027
12	28.26940246
13	26.92818565
14	25.65858723
15	24.46038287
16	23.31789543
17	22.24803159
18	21.2250632
19	20.2433907
20	19.3170583
21	18.44028708
22	17.60684896
23	16.82973996
24	16.09532657
25	15.38618712
26	14.7238658
27	14.09535977
28	13.51095083
29	12.95351549
30	12.42481327
31	11.92896543
32	11.45791881
33	11.01638863
34	10.59747511
35	10.20936653
36	9.842793712
37	9.494452952
38	9.166272778
39	8.86695471
40	8.581350549
41	8.318040054
42	8.069276281
43	7.836354529
44	7.624178605
45	7.419999196
46	7.234540825
47	7.060134407
48	6.898634178
49	6.749919222
50	6.61222499
51	6.486083931
52	6.371284147
53	6.262179366
54	6.160336965
55	6.065834862
56	5.979797256
57	5.901232
58	5.829309507
59	5.764097645
60	5.705435298
61	5.648871909
62	5.598176302
63	5.55158153
64	5.508036262
65	5.470522111
66	5.434272854
67	5.40135671
68	5.37312236
69	5.344984875
70	5.320345708
71	5.298056565
72	5.276629505
73	5.257801637
74	5.23954503
75	5.222973011
76	5.208058773
77	5.194738284
78	5.181459567
79	5.170240968
80	5.159866159
81	5.150803153
82	5.142224656
83	5.134956169
84	5.127968262
85	5.121185299
86	5.114336915
87	5.10838499
88	5.102229652
89	5.097458217
90	5.092891668
91	5.088441376
92	5.084339085
93	5.080664733
94	5.077189965
95	5.073708581
96	5.0704137
97	5.067047451
98	5.064000977
99	5.060666844
100	5.058134738
101	5.0556242
102	5.053289967
103	5.050764364
104	5.048525144
105	5.046574948
106	5.044473232
107	5.042938635
108	5.041398335
109	5.039850588
110	5.038012532
111	5.03656696
112	5.035058961
113	5.033816037
114	5.03255667
115	5.031370774
116	5.030083567
117	5.028445617
118	5.02679135
119	5.025565517
120	5.024400594
121	5.022858374
122	5.021529068
123	5.020464491
124	5.018940066
125	5.017641523
126	5.015958595
127	5.014954543
128	5.013981701
129	5.013163791
130	5.01192999
131	5.010253545
132	5.009048052
133	5.007593709
134	5.00652763
135	5.005652687
136	5.005048648
137	5.004236977
138	5.003405018
139	5.002766471
140	5.001644742
141	5.00089106
142	4.999778469
143	4.99870052
144	4.99780532
145	4.997123234
146	4.996169255
147	4.994671575
148	4.993950637
149	4.993331042
150	4.992484884
151	4.991756197
152	4.990376966
153	4.989621053
154	4.988437427
155	4.987648212
156	4.986753607
157	4.985710419
158	4.984614129
