iter	Passed	Remaining
0	117	18508
1	292	22955
2	413	21484
3	520	20158
4	640	19730
5	767	19567
6	884	19204
7	1003	18944
8	1123	18720
9	1253	18674
10	1377	18531
11	1492	18286
12	1604	18015
13	1729	17915
14	1842	17688
15	1954	17468
16	2173	18154
17	2432	19057
18	2647	19508
19	2787	19369
20	2931	19264
21	3073	19139
22	3287	19437
23	3501	19698
24	3648	19558
25	3786	19367
26	3919	19163
27	4065	19018
28	4182	18749
29	4303	18503
30	4426	18277
31	4539	18017
32	4662	17802
33	4785	17593
34	4909	17393
35	5028	17179
36	5218	17207
37	5339	17001
38	5450	16769
39	5562	16547
40	5679	16345
41	5800	16158
42	5923	15978
43	6036	15776
44	6178	15652
45	6315	15514
46	6433	15331
47	6545	15137
48	6669	14971
49	6810	14847
50	6920	14654
51	7031	14469
52	7147	14295
53	7271	14139
54	7392	13979
55	7507	13807
56	7625	13646
57	7750	13497
58	7870	13340
59	7986	13177
60	8108	13027
61	8225	12868
62	8345	12716
63	8471	12574
64	8588	12420
65	8706	12267
66	8825	12118
67	8950	11977
68	9074	11836
69	9196	11692
70	9312	11541
71	9437	11403
72	9550	11251
73	9671	11108
74	9794	10969
75	9917	10831
76	10032	10683
77	10145	10535
78	10259	10389
79	10368	10238
80	10481	10093
81	10594	9948
82	10770	9861
83	10885	9718
84	10994	9571
85	11116	9436
86	11234	9297
87	11363	9168
88	11490	9037
89	11603	8896
90	11717	8756
91	11835	8619
92	11951	8481
93	12069	8345
94	12191	8213
95	12309	8077
96	12429	7944
97	12546	7809
98	12669	7678
99	12781	7541
100	12901	7408
101	13020	7275
102	13142	7145
103	13258	7011
104	13376	6879
105	13494	6747
106	13613	6616
107	13745	6490
108	13878	6366
109	14001	6236
110	14114	6103
111	14296	5999
112	14433	5875
113	14564	5749
114	14705	5626
115	14826	5495
116	14942	5363
117	15061	5233
118	15181	5102
119	15302	4973
120	15429	4845
121	15553	4717
122	15675	4587
123	15796	4458
124	15913	4328
125	16037	4200
126	16151	4069
127	16267	3939
128	16420	3818
129	16553	3692
130	16668	3562
131	16790	3434
132	16917	3307
133	17044	3179
134	17176	3053
135	17295	2924
136	17408	2795
137	17536	2668
138	17653	2540
139	17769	2411
140	17884	2283
141	18075	2163
142	18210	2037
143	18322	1908
144	18438	1780
145	18554	1652
146	18683	1525
147	18800	1397
148	18940	1271
149	19178	1150
150	19312	1023
151	19440	895
152	19576	767
153	19716	640
154	19847	512
155	19990	384
156	20125	256
157	20254	128
158	20383	0
