iter	Passed	Remaining
0	67	10701
1	140	11017
2	208	10833
3	275	10665
4	342	10549
5	415	10588
6	492	10697
7	572	10810
8	658	10970
9	734	10949
10	817	10993
11	896	10976
12	981	11020
13	1060	10984
14	1140	10950
15	1290	11537
16	1374	11481
17	1448	11344
18	1532	11291
19	1607	11169
20	1682	11056
21	1775	11059
22	1847	10927
23	1919	10798
24	1987	10652
25	2137	10936
26	2305	11269
27	2449	11460
28	2595	11636
29	2736	11768
30	2880	11893
31	3021	11992
32	3178	12136
33	3322	12215
34	3460	12258
35	3624	12384
36	3768	12427
37	3917	12474
38	4238	13042
39	4514	13430
40	4655	13398
41	4976	13861
42	5151	13896
43	5303	13862
44	5448	13802
45	5589	13730
46	5729	13652
47	5865	13563
48	5999	13467
49	6128	13359
50	6275	13288
51	6423	13216
52	6558	13117
53	6697	13022
54	6828	12911
55	6956	12795
56	7079	12668
57	7202	12542
58	7322	12410
59	7441	12278
60	7562	12149
61	7680	12016
62	7804	11892
63	7925	11764
64	8045	11634
65	8160	11499
66	8289	11382
67	8426	11276
68	8546	11147
69	8669	11022
70	8801	10909
71	8935	10796
72	9061	10674
73	9189	10555
74	9322	10441
75	9451	10322
76	9572	10194
77	9701	10075
78	9825	9949
79	9949	9824
80	10077	9704
81	10199	9577
82	10317	9447
83	10422	9305
84	10538	9175
85	10668	9055
86	10796	8935
87	10916	8807
88	11035	8679
89	11159	8555
90	11285	8432
91	11405	8306
92	11547	8194
93	11706	8094
94	11839	7976
95	11988	7867
96	12132	7755
97	12266	7635
98	12413	7523
99	12551	7405
100	12692	7288
101	12829	7169
102	12976	7054
103	13113	6934
104	13247	6813
105	13368	6684
106	13549	6584
107	13748	6492
108	13904	6377
109	14071	6268
110	14299	6183
111	14547	6104
112	14680	5976
113	14817	5849
114	14956	5722
115	15095	5595
116	15230	5467
117	15358	5336
118	15492	5207
119	15626	5078
120	15689	4927
121	15814	4796
122	15936	4664
123	16075	4537
124	16207	4408
125	16339	4279
126	16495	4156
127	16639	4029
128	16771	3900
129	16903	3770
130	17022	3638
131	17142	3506
132	17261	3374
133	17382	3242
134	17502	3111
135	17630	2981
136	17754	2851
137	17876	2720
138	17996	2589
139	18116	2458
140	18236	2328
141	18357	2197
142	18483	2068
143	18606	1938
144	18730	1808
145	18780	1672
146	18891	1542
147	19009	1412
148	19121	1283
149	19235	1154
150	19343	1024
151	19454	895
152	19584	768
153	19706	639
154	19833	511
155	19955	383
156	20085	255
157	20209	127
158	20328	0
