iter	RMSE
0	50.99621672
1	48.53827388
2	46.18181385
3	43.94940701
4	41.8262032
5	39.81179022
6	37.89433209
7	36.07334468
8	34.33645859
9	32.71442772
10	31.13671915
11	29.64510902
12	28.24777907
13	26.90859619
14	25.6390484
15	24.44187119
16	23.29723451
17	22.22806585
18	21.19884365
19	20.21693825
20	19.2910537
21	18.41508417
22	17.58624587
23	16.80925131
24	16.07668725
25	15.36810256
26	14.70648696
27	14.07931065
28	13.48381124
29	12.93046044
30	12.40241256
31	11.90678699
32	11.43571302
33	10.99426232
34	10.57757361
35	10.19191493
36	9.823869647
37	9.482706523
38	9.154246908
39	8.849021
40	8.563078056
41	8.29914452
42	8.050945704
43	7.817434807
44	7.602814253
45	7.398410504
46	7.209674813
47	7.033239538
48	6.871610959
49	6.721564384
50	6.585392169
51	6.458968111
52	6.343560741
53	6.233984865
54	6.133150241
55	6.040119398
56	5.954764035
57	5.879391647
58	5.807469059
59	5.742307261
60	5.682163633
61	5.624761275
62	5.573289683
63	5.5272251
64	5.48366099
65	5.444648307
66	5.408300941
67	5.375530499
68	5.347473926
69	5.319173993
70	5.293474019
71	5.271733059
72	5.250392616
73	5.23172558
74	5.213402419
75	5.19680891
76	5.182134811
77	5.16907225
78	5.156151947
79	5.144995718
80	5.134436921
81	5.125262793
82	5.115608142
83	5.108391234
84	5.101342841
85	5.094657066
86	5.087578699
87	5.081806217
88	5.075919891
89	5.071112423
90	5.06658196
91	5.062458869
92	5.058593088
93	5.05510302
94	5.05163848
95	5.04810443
96	5.044923815
97	5.041221633
98	5.038173322
99	5.035273855
100	5.032254772
101	5.029730998
102	5.027232512
103	5.024881456
104	5.022741236
105	5.020812522
106	5.018631001
107	5.016706924
108	5.01516629
109	5.013474167
110	5.011743418
111	5.009748305
112	5.008341007
113	5.006922487
114	5.005585826
115	5.003967314
116	5.002674233
117	5.001000216
118	4.999768671
119	4.99837125
120	4.997996411
121	4.996900854
122	4.995586295
123	4.994010872
124	4.992930886
125	4.991871769
126	4.990990399
127	4.989472941
128	4.98818231
129	4.986709325
130	4.985680486
131	4.984643179
132	4.983691071
133	4.982837788
134	4.982095068
135	4.981108445
136	4.979903533
137	4.979178062
138	4.978440468
139	4.977655608
140	4.976588109
141	4.975468734
142	4.974286451
143	4.973500069
144	4.972916888
145	4.972794479
146	4.972061384
147	4.97089513
148	4.969631745
149	4.968663365
150	4.967456459
151	4.966286138
152	4.965818673
153	4.965078541
154	4.964300582
155	4.963443591
156	4.962888516
157	4.961436765
158	4.96009919
