iter	RMSE
0	51.0068194
1	48.54832668
2	46.1857252
3	43.95343184
4	41.83195266
5	39.81751479
6	37.89972675
7	36.07870895
8	34.34263866
9	32.7227307
10	31.15042963
11	29.65921528
12	28.2611906
13	26.92043356
14	25.65104267
15	24.45372038
16	23.30854453
17	22.24576731
18	21.22136734
19	20.23913351
20	19.30686588
21	18.43090953
22	17.59756084
23	16.82072582
24	16.08728899
25	15.38049712
26	14.71888504
27	14.09073255
28	13.50613128
29	12.94638666
30	12.41784909
31	11.92254759
32	11.45141442
33	11.00758663
34	10.590874
35	10.2030437
36	9.834182136
37	9.486021476
38	9.160701624
39	8.859145097
40	8.568648907
41	8.3052025
42	8.057318109
43	7.824183497
44	7.610054459
45	7.407860223
46	7.218960072
47	7.043725241
48	6.882320644
49	6.732898025
50	6.596753625
51	6.470802619
52	6.356656924
53	6.247394436
54	6.147864469
55	6.05474188
56	5.97096164
57	5.896079354
58	5.824856039
59	5.759596493
60	5.69806498
61	5.641276374
62	5.590085099
63	5.543275253
64	5.499420297
65	5.459445428
66	5.42416091
67	5.391009641
68	5.362920879
69	5.334275982
70	5.30945606
71	5.287565793
72	5.267347566
73	5.248586341
74	5.230633436
75	5.213299195
76	5.198295084
77	5.185032994
78	5.17190193
79	5.160362712
80	5.149778756
81	5.139976618
82	5.130488694
83	5.123193183
84	5.116230164
85	5.10952352
86	5.1027362
87	5.096481192
88	5.091115321
89	5.086146314
90	5.081762847
91	5.076975207
92	5.073112948
93	5.069451068
94	5.06606542
95	5.062419554
96	5.0592118
97	5.055786269
98	5.052922667
99	5.049709687
100	5.047213502
101	5.044727944
102	5.042208785
103	5.039840901
104	5.03756143
105	5.035355084
106	5.033185554
107	5.031434593
108	5.029939692
109	5.028160957
110	5.025930654
111	5.02421715
112	5.022586629
113	5.021374965
114	5.019931714
115	5.01857783
116	5.017225171
117	5.015607541
118	5.014378604
119	5.0130098
120	5.011822916
121	5.010701677
122	5.009395291
123	5.008482887
124	5.00717008
125	5.00593005
126	5.00481324
127	5.003881219
128	5.002830519
129	5.001489698
130	5.000364965
131	4.999017903
132	4.997857428
133	4.996816098
134	4.995690448
135	4.994706726
136	4.993831916
137	4.99257847
138	4.991795014
139	4.990755061
140	4.989997413
141	4.989071978
142	4.988320047
143	4.987055754
144	4.986073477
145	4.985079744
146	4.983956826
147	4.982852143
148	4.982045763
149	4.98145942
150	4.980517091
151	4.979827805
152	4.978869314
153	4.978088115
154	4.977192016
155	4.976307418
156	4.975660856
157	4.974641266
158	4.973681879
