iter	Passed	Remaining
0	184	29157
1	333	26169
2	509	26469
3	662	25654
4	929	28636
5	1156	29478
6	1315	28567
7	1457	27508
8	1608	26816
9	1803	26873
10	2142	28825
11	2527	30963
12	2750	30895
13	2983	30897
14	3560	34182
15	3983	35605
16	4132	34521
17	4315	33802
18	4457	32844
19	4608	32031
20	4781	31422
21	4918	30631
22	5157	30496
23	5393	30339
24	5681	30452
25	6057	30988
26	6443	31500
27	7450	34858
28	7906	35444
29	8150	35048
30	8345	34458
31	8546	33918
32	8725	33314
33	8883	32658
34	9040	32029
35	9206	31455
36	9392	30970
37	9534	30361
38	9693	29826
39	9841	29278
40	9987	28745
41	10143	28256
42	10290	27759
43	10429	27257
44	10575	26792
45	10721	26337
46	10873	25911
47	11014	25469
48	11158	25049
49	11309	24654
50	11460	24268
51	11605	23881
52	11755	23510
53	11900	23139
54	12048	22782
55	12167	22378
56	12289	21992
57	12416	21621
58	12551	21273
59	12686	20932
60	12897	20720
61	13023	20375
62	13143	20027
63	13262	19686
64	13381	19351
65	13513	19041
66	13635	18723
67	13752	18403
68	13878	18101
69	13998	17798
70	14122	17503
71	14244	17211
72	14363	16921
73	14493	16647
74	14616	16370
75	14744	16102
76	14872	15838
77	15007	15584
78	15134	15326
79	15256	15065
80	15376	14807
81	15496	14551
82	15619	14302
83	15722	14037
84	15843	13793
85	15969	13555
86	16089	13315
87	16208	13077
88	16355	12864
89	16501	12651
90	16621	12420
91	16745	12194
92	16871	11973
93	16998	11754
94	17222	11602
95	17342	11380
96	17463	11162
97	17586	10946
98	17705	10730
99	17828	10518
100	17949	10307
101	18066	10096
102	18187	9888
103	18304	9680
104	18428	9477
105	18548	9274
106	18667	9071
107	18789	8872
108	18921	8679
109	19059	8490
110	19193	8299
111	19313	8104
112	19442	7914
113	19571	7725
114	19691	7534
115	19822	7348
116	19943	7159
117	20080	6977
118	20204	6791
119	20323	6605
120	20384	6401
121	20503	6218
122	20624	6036
123	20746	5855
124	20861	5674
125	20978	5494
126	21103	5317
127	21225	5140
128	21345	4964
129	21468	4789
130	21593	4615
131	21719	4442
132	21843	4270
133	21958	4096
134	22078	3925
135	22202	3754
136	22332	3586
137	22456	3417
138	22574	3248
139	22697	3080
140	22817	2912
141	22938	2746
142	23061	2580
143	23183	2414
144	23324	2252
145	23452	2088
146	23577	1924
147	23708	1762
148	23827	1599
149	23965	1437
150	24084	1275
151	24208	1114
152	24325	953
153	24455	794
154	24580	634
155	24711	475
156	24852	316
157	24988	158
158	25120	0
